id,first_name,last_name,job,company,balance,timestamp_at,updated_at,deleted_at,created_at
0,Mary,Hall,Actuary,evolve value-added models,10000,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
1,Kimberly,Miller,Quantity surveyor,synthesize strategic content,10001,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
2,Erica,Smith,Environmental consultant,target plug-and-play supply-chains,10002,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
3,Jose,Brown,Optometrist,transform value-added vortals,10003,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
4,Erin,Cook,Visual merchandiser,incentivize ubiquitous infrastructures,10004,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
5,Frank,Brown,Sales executive,facilitate cross-platform web services,10005,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
6,Jessica,Cantrell,"Designer, interior/spatial",productize real-time e-commerce,10006,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
7,David,Carpenter,Television camera operator,drive out-of-the-box platforms,10007,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
8,Louis,Collins,Furniture conservator/restorer,expedite B2C supply-chains,10008,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
9,Nicole,Sherman,Intelligence analyst,morph granular methodologies,10009,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
10,Linda,Morton,Community arts worker,disintermediate strategic metrics,10010,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
11,Shawn,Pena,"Designer, multimedia",deploy proactive interfaces,10011,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
12,Robin,Lee,"Scientist, research (maths)",mesh end-to-end eyeballs,10012,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
13,Wayne,Young,Learning mentor,streamline web-enabled networks,10013,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
14,Regina,Stewart,"Psychologist, prison and probation services",evolve strategic bandwidth,10014,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
15,Alicia,Lambert,Air traffic controller,e-enable real-time eyeballs,10015,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
16,Emily,Sutton,Armed forces logistics/support/administrative officer,benchmark value-added channels,10016,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
17,Matthew,Stephenson,Technical author,deliver viral convergence,10017,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
18,Jennifer,Lopez,Planning and development surveyor,evolve open-source e-tailers,10018,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
19,Jacqueline,Arias,Travel agency manager,generate enterprise infrastructures,10019,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
20,Benjamin,Morales,Music therapist,mesh e-business web-readiness,10020,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204,2023-03-07T01:43:07.008204
